Concessionaria;Praca_de_pedagio;Ano_PNV_SNV;UF;Rodovia;Km_m;Tipo_de_Pista;Sentido;Municipio;Direcao;Latitude;Longitude;Data_da_Ativacao;Mes_ano;Receita_Praca_de_Pedagio
NOVADUTRA;Itatiaia;1998;Rio de Janeiro;BR-116/RJ;318,900;Principal;CrescenteDecrescente;Itatiaia;Sul/Norte;-22,494913;-44,569597;01/08/1996;01/2020;1705692,5
NOVADUTRA;Viúva Graça;1998;Rio de Janeiro;BR-116/RJ;207,100;Principal;CrescenteDecrescente;Seropédica;Sul/Norte;-22,716155;-43,716697;01/08/1996;01/2020;1459939
NOVADUTRA;Viuvinha;1998;Rio de Janeiro;BR-116/RJ;208,600;Principal;CrescenteDecrescente;Seropédica;Sul/Norte;-22,715133;-43,730239;01/12/2009;01/2020;208571
NOVADUTRA;Guararema Sul;1998;São Paulo;BR-116/SP;180,800;Principal;Crescente;Guararema;Sul;-23,338823;-46,150096;01/08/1996;01/2020;991236,75
NOVADUTRA;Jacareí;1998;São Paulo;BR-116/SP;165,200;Principal;CrescenteDecrescente;Jacareí;Sul/Norte;-23,296531;-46,007208;15/08/2001;01/2020;3142899,5
NOVADUTRA;Jacareí Cab. Bloq.;1998;São Paulo;BR-116/SP;167,150;Principal;CrescenteDecrescente;Jacareí;Sul/Norte;-23,302445;-46,025038;15/08/2001;01/2020;0
NOVADUTRA;Moreira César;1998;São Paulo;BR-116/SP;86,850;Principal;CrescenteDecrescente;Pindamonhangaba;Sul/Norte;-22,930143;-45,360888;01/08/1996;01/2020;2277020
NOVADUTRA;Arujá;1998;São Paulo;BR-116/SP;204,700;Principal;CrescenteDecrescente;Arujá;Sul/Norte;-23,413055;-46,361079;08/10/1998;01/2020;2779410
NOVADUTRA;Arujá Rodoanel;1998;São Paulo;BR-116/SP;205,050;Principal;Decrescente;Arujá;Norte;-23,415697;-46,365118;09/07/2015;01/2020;219122
NOVADUTRA;Guararema Norte;1998;São Paulo;BR-116/SP;182,000;Principal;Decrescente;Santa Isabel;Norte;-23,346646;-46,164627;27/03/2011;01/2020;991236,75
CONCER;P1;2016;Rio de Janeiro;BR-040/RJ;102,000;Principal;CrescenteDecrescente;Duque de Caxias;Norte/Sul;-22,609965;-43,285552;02/06/2020;01/2020;10639629,921598028
CONCER;P2;2016;Rio de Janeiro;BR-040/RJ;45,500;Principal;CrescenteDecrescente;Areal;Norte/Sul;-22,284389;-43,120269;02/06/2020;01/2020;7092520,60110321
CONCER;P3;2016;Minas Gerais;BR-040/MG;816,700;Principal;CrescenteDecrescente;Simão Pereira;Norte/Sul;-21,928252;-43,316282;02/06/2020;01/2020;7206451,277299362
CRT;PA1 Santo Aleixo;2017;Rio de Janeiro;BR-116/RJ;114,500;Principal;CrescenteDecrescente;Magé;Sul/Norte;-22,610815;-43,032112;09/12/1996;01/2020;797994,3279318643
CRT;PA2 Santa Guilhermina;2017;Rio de Janeiro;BR-116/RJ;122,000;Principal;CrescenteDecrescente;Magé;Sul/Norte;-22,657363;-43,086196;09/12/1996;01/2020;616428,6380721485
CRT;PN1 Eng. Pierre Berman;2017;Rio de Janeiro;BR-116/RJ;133,500;Principal;CrescenteDecrescente;Magé;Sul/Norte;-22,647307;-43,187968;02/09/1996;01/2020;23090095,383995984
ECOSUL;Praça Cristal;1996;Rio Grande do Sul;BR-116/RS;430,800;Principal;CrescenteDecrescente;Cristal;Sul/Norte;-31,026386;-52,049430;20/04/2001;01/2020;5355883,666001383
ECOSUL;Praça Pavão;1996;Rio Grande do Sul;BR-116/RS;541,200;Principal;CrescenteDecrescente;Capão do Leão;Sul/Norte;-31,820075;-52,526711;01/03/2002;01/2020;1783453,9941334487
ECOSUL;Praça Retiro;1996;Rio Grande do Sul;BR-116/RS;510,700;Principal;CrescenteDecrescente;Pelotas;Sul/Norte;-31,625261;-52,318116;04/03/2001;01/2020;5945842,82714261
ECOSUL;Praça Capão Seco;1996;Rio Grande do Sul;BR-392/RS;52,300;Principal;CrescenteDecrescente;Rio Grande;Norte/Sul;-31,851958;-52,326177;04/03/2001;01/2020;9002407,785469316
ECOSUL;Praça Glória;1996;Rio Grande do Sul;BR-392/RS;111,400;Principal;CrescenteDecrescente;Canguçu;Norte/Sul;-31,449786;-52,640644;01/03/2002;01/2020;2404743,017253241
AUTOPISTA PLANALTO SUL;RIO NEGRO;2017;Paraná;BR-116/PR;204,100;Principal;CrescenteDecrescente;Rio Negro;Sul/Norte;-26,070580;-49,739911;04/02/2009;01/2020;3011525,2425660915
AUTOPISTA PLANALTO SUL;FAZENDA RIO GRANDE;2017;Paraná;BR-116/PR;134,400;Principal;CrescenteDecrescente;Fazenda Rio Grande;Sul/Norte;-25,713458;-49,318037;22/02/2009;01/2020;4808400,121594336
AUTOPISTA PLANALTO SUL;MONTE CASTELO;2017;Santa Catarina;BR-116/SC;81,600;Principal;CrescenteDecrescente;Monte Castelo;Sul/Norte;-26,570363;-50,221795;04/02/2009;01/2020;2511446,4711093106
AUTOPISTA PLANALTO SUL;SANTA CECÍLIA;2017;Santa Catarina;BR-116/SC;152,000;Principal;CrescenteDecrescente;Santa Cecília;Sul/Norte;-27,010584;-50,428716;18/01/2009;01/2020;2113306,220451907
AUTOPISTA PLANALTO SUL;CORREIA PINTO;2017;Santa Catarina;BR-116/SC;233,160;Principal;CrescenteDecrescente;Correia Pinto;Sul/Norte;-27,010584;-50,374335;18/02/2008;01/2020;2120718,5442783553
AUTOPISTA LITORAL SUL;P1;2009;Paraná;BR-376/PR;635,300;Principal;CrescenteDecrescente;São José dos Pinhais;Sul/Norte;-25,747708;-49,129655;22/02/2009;01/2020;7316764,125575288
AUTOPISTA LITORAL SUL;P2;2009;Santa Catarina;BR-101/SC;1,350;Principal;CrescenteDecrescente;Garuva;Sul/Norte;-25,991898;-48,881469;22/02/2009;01/2020;7000041,174094642
AUTOPISTA LITORAL SUL;P3;2009;Santa Catarina;BR-101/SC;79,300;Principal;CrescenteDecrescente;Araquari;Sul/Norte;-26,591635;-48,722079;04/06/2009;01/2020;7790005,408501431
AUTOPISTA LITORAL SUL;P4;2009;Santa Catarina;BR-101/SC;157,400;Principal;CrescenteDecrescente;Porto Belo;Sul/Norte;-27,185065;-48,612362;12/05/2009;01/2020;7618550,125261841
AUTOPISTA LITORAL SUL;P5;2009;Santa Catarina;BR-101/SC;242,800;Principal;CrescenteDecrescente;Palhoça;Sul/Norte;-27,885105;-48,647677;20/06/2009;01/2020;5119659,116566802
AUTOPISTA REGIS BITTENCOURT;Campina Grande do Sul;2017;Paraná;BR-116/PR;57,100;Principal;CrescenteDecrescente;Campina Grande do Sul;Sul/Norte;-25,289252;-48,933841;10/03/2009;01/2020;6428727,447132896
AUTOPISTA REGIS BITTENCOURT;São Lourenço da Serra;2017;São Paulo;BR-116/SP;298,800;Principal;CrescenteDecrescente;São Lourenço da Serra;Sul/Norte;-23,787647;-46,913922;29/12/2008;01/2020;7351411,929848026
AUTOPISTA REGIS BITTENCOURT;Miracatu;2017;São Paulo;BR-116/SP;370,400;Principal;CrescenteDecrescente;Miracatu;Sul/Norte;-24,157869;-47,326280;23/03/2009;01/2020;6462401,188537521
AUTOPISTA REGIS BITTENCOURT;Juquiá;2017;São Paulo;BR-116/SP;426,600;Principal;CrescenteDecrescente;Juquiá;Sul/Norte;-24,389325;-47,722391;22/02/2009;01/2020;6840736,434629141
AUTOPISTA REGIS BITTENCOURT;Cajati;2017;São Paulo;BR-116/SP;485,700;Principal;CrescenteDecrescente;Cajati;Sul/Norte;-24,722483;-48,082580;29/12/2008;01/2020;6655706,569929353
AUTOPISTA REGIS BITTENCOURT;Barra do Turvo;2017;São Paulo;BR-116/SP;542,900;Principal;CrescenteDecrescente;Barra do Turvo;Sul/Norte;-24,964044;-48,412000;18/05/2009;01/2020;6169687,579923061
AUTOPISTA FLUMINENSE;Casimiro de Abreu;2019;Rio de Janeiro;BR-101/RJ;192,820;Principal;CrescenteDecrescente;Casimiro de Abreu;Sul/Norte;-22,476441;-42,088519;25/05/2009;01/2020;0
AUTOPISTA FLUMINENSE;Conselheiro Josino;2019;Rio de Janeiro;BR-101/RJ;40,500;Principal;CrescenteDecrescente;Campos dos Goytacazes;Sul/Norte;-21,552594;-41,331597;02/02/2009;01/2020;0
AUTOPISTA FLUMINENSE;Rio Bonito;2019;Rio de Janeiro;BR-101/RJ;252,850;Principal;CrescenteDecrescente;Rio Bonito;Sul/Norte;-22,687469;-42,539855;25/05/2009;01/2020;0
AUTOPISTA FLUMINENSE;São Gonçalo;2019;Rio de Janeiro;BR-101/RJ;299,690;Principal;Crescente;São Gonçalo;Sul;-22,774713;-42,945500;10/02/2009;01/2020;0
